promo_group_id,promo_name,promo_type,start_date,end_date,target_kit_id,target_kit_ids,platform_name,condition_qty,gift_qty,gift_kit_id
G_0102,BATHPA | 스크럽워시,PRICE_ONLY,2024-05-11,2024-05-13,1.0098E+12,"{1009799783004,1009799783005,1009799783006,1009799783007}",GS이숍,1,0,
G_0103,ROERANCE | 바디미스트,Q_BASED,2024-05-08,2024-05-10,B619607455,{B619607455},옥션,1,1,
G_0104,FRAIJOUR | 약쑥토너,Q_BASED,2024-05-06,2024-05-08,44075301 001,{44075301 001},홈앤쇼핑,1,1,
G_0105,ROERANCE | 바디미스트,Q_BASED,2024-05-14,2024-05-15,36368524001,"{36368524001,36368524002,36368524004,36368524006,36368524008,36368524009,36368524010,36368524011}",GS이숍,2,1,
G_0106,BATHPA | 스크럽워시,Q_BASED,2024-05-13,2024-05-14,2397735259,{2397735259},G마켓,2,1,
G_0107,ROERANCE | 바디미스트,Q_BASED,2024-05-15,2024-05-16,832114998,{832114998},G마켓,1,1,
G_0108,BATHPA | 스크럽워시,Q_BASED,2024-05-15,2024-05-17,C561340751,{C561340751},옥션,2,1,
G_0109,CHARCHAR | 헤어세럼,Q_BASED,2024-05-15,2024-05-16,37803140001,"{37803140001,37803140002,37803140003,37803140004,37803140005,37803140006,37803140007,37803140008,37803140009}",GS이숍,1,1,
G_0110,ROERANCE | 바디미스트,Q_BASED,2024-05-17,2024-05-17,B619607455,{B619607455},옥션,1,1,
G_0111,ROERANCE | 바디미스트,Q_BASED,2024-05-18,2024-05-20,B619607455,{B619607455},옥션,1,1,
G_0112,ROERANCE | 바디미스트,Q_BASED,2024-05-21,2024-05-22,832114998,{832114998},G마켓,1,1,
G_0113,BATHPA | 스크럽워시,PRICE_ONLY,2024-05-21,2024-05-22,C561340751,{C561340751},옥션,1,0,
G_0114,MIMI 퍼퓸 | 드레스퍼퓸,Q_BASED,2024-05-22,2024-05-24,1513422925,{1513422925},G마켓,1,1,
G_0115,BATHPA | 무드퍼퓸,Q_BASED,2024-05-23,2024-05-24,B867374399,{B867374399},옥션,1,1,
G_0116,FRAIJOUR | 어성초수분크림,Q_BASED,2024-05-22,2024-05-23,1.00256E+12,{1002564011001},GS이숍,1,1,
G_0117,PEDISON 바디 | 여성청결제,Q_BASED,2024-05-31,2024-06-03,483648529,{483648529},G마켓,1,1,
G_0118,ROERANCE | 바디미스트,PRICE_ONLY,2024-06-01,2024-06-03,B619607455,{B619607455},옥션,1,0,
G_0119,CHARCHAR | 헤어세럼,Q_BASED,2024-05-24,2024-05-27,1692731979,{1692731979},G마켓,1,1,
G_0120,PEDISON 바디 | 여성청결제,Q_BASED,2024-05-25,2024-05-27,483648529,{483648529},G마켓,1,1,
