kit_id,product_id,multiplier
로즈마인_로션: 머스크 + 쁘띠,RMBL004,1
로즈마인_로션: 머스크 + 쁘띠,RMBL002,1
로즈마인_로션: 머스크 + 워시: 머스크,RMBL004,1
로즈마인_로션: 머스크 + 워시: 머스크,RPBC004,1
로즈마인_로션: 머스크 x2,RMBL004,2
로즈마인_로션: 머스크 x3,RMBL004,1
로즈마인_로션: 메이비,RMBL007,1
로즈마인_로션: 메이비 x2,RMBL007,2
로즈마인_로션: 모링가,RMBL014,1
로즈마인_로션: 모링가 + 로션: 머스크,RMBL014,1
로즈마인_로션: 모링가 + 로션: 머스크,RMBL004,1
로즈마인_로션: 모링가 x2,RMBL014,2
로즈마인_로션: 모링가 x3,RMBL014,3
로즈마인_로션: 블레싱,RMBL006,1
로즈마인_로션: 블레싱 + 로션 머스크,RMBL006,1
로즈마인_로션: 블레싱 + 로션 머스크,RMBL004,1
로즈마인_로션: 블레싱 + 로션 플로럴,RMBL006,1
로즈마인_로션: 블레싱 + 로션 플로럴,RMBL001,1
로즈마인_로션: 블레싱 x2,RMBL006,2
로즈마인_로션: 블레싱 x3,RMBL006,2
로즈마인_로션: 쁘띠,RMBL002,1
로즈마인_로션: 쁘띠 x2,RMBL002,2
로즈마인_로션: 쁘띠 x3,RMBL002,3
로즈마인_로션: 쁘띠+ 로션: 글래밍,RMBL002,1
로즈마인_로션: 쁘띠+ 로션: 글래밍,RMBL003,1
로즈마인_로션: 플로랄,RMBL001,1
로즈마인_로션: 플로랄 + 로션: 글래밍,RMBL001,1
로즈마인_로션: 플로랄 + 로션: 글래밍,RMBL003,1
로즈마인_로션: 플로랄 + 모링가,RMBL001,1
로즈마인_로션: 플로랄 + 모링가,RMBL014,1
로즈마인_로션: 플로랄 x2,RMBL001,2
로즈마인_로션: 플로랄 x3,RMBL001,3
로즈마인_로션: 플로러,RMBL001,1
로즈마인_로션: 플로럴,RMBL001,1
로즈마인_로션: 플로럴 x2,RMBL001,2
로즈마인_스팀 바디4종 세트,RMXX4T1,1
